CO_IES,NO_IES,CO_CURSO,NO_CURSO,TP_TURNO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,ID_ALUNO,TP_COR_RACA,TP_SEXO,NU_IDADE,TP_NACIONALIDADE,IN_DEFICIENCIA,DT_INGRESSO_CURSO,IN_RESERVA_VAGAS,IN_FINANCIAMENTO_ESTUDANTIL,IN_APOIO_SOCIAL,IN_ATIVIDADE_EXTRACURRICULAR,TP_ESCOLA_CONCLUSAO_ENS_MEDIO,IN_MATRICULA,IN_CONCLUINTE,TP_SITUACAO
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,C2E870F652B2299ED62D4AA8038A9422,1,1,30,1,0,2009-07-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,81A4D85417E7123C8DF075A0A2629E8E,0,1,57,1,0,2009-07-01,0,0,0,0,1,1,1,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,77F900FA4B592D61029032DCA66D9F55,2,2,29,1,0,2014-01-01,0,0,0,0,1,1,1,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,4D21A9481680ED505C359CE9A0F8F212,0,2,38,1,0,2006-01-01,0,0,0,0,9,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,63341AACBCB526FE3A929666DE581731,0,1,31,1,0,2010-01-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,0DB6DDA784734B758AB682E284EBDF57,1,1,28,1,0,2009-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,26DF59025ADBEBBD159AB376D4886748,0,2,34,1,0,2009-01-01,0,0,0,0,9,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,BAF5919291C16401693220A8B6687454,1,2,29,1,0,2016-01-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,C99BE3981BA4C2EA6A5F6673710ED710,1,1,28,1,0,2014-07-01,0,0,0,0,1,1,1,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,A9F3733EB27BA8AC35BFCA73EE888A7A,3,1,35,1,0,2016-07-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,97072E5476A4658F33719673F1974FC2,0,2,29,1,0,2009-07-01,0,0,0,0,2,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,D904084C993ABC1BE75E9EC9A34509D3,1,1,37,1,0,2012-07-01,0,0,0,0,9,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,661752FF88D5F06344B54ADB1205773C,1,2,27,1,0,2016-01-01,0,0,0,0,2,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,8E55535B046E8ECD23FC66F5F0C2BF42,1,1,32,1,0,2017-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,27EC41FDEE4BDE1973BE127104B2EB05,1,1,29,1,0,2016-01-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,224BFF501D15F75EC852111CDDE9271E,1,2,28,1,0,2016-01-01,0,0,0,0,2,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,45F6D34DE6E1C71FAE1F787B807731E8,0,1,36,1,0,2005-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,8AEC3CA509AA397184F74831FB6B2518,1,2,30,1,0,2008-07-01,0,0,0,0,9,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,4C2625A5DB54F1DFB8C5A5CC2F3F607B,0,2,49,1,0,2008-01-01,0,0,0,0,9,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,3174C8EAAEEBF2FFA00A85D81F845BC0,1,2,36,1,0,2009-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,6B292C17117981D6ED13CF505D0A879B,0,1,44,1,0,2009-01-01,0,0,0,0,9,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,FC22AB4053CC43B9BE57ED11C1F667BE,0,1,36,1,0,2009-07-01,0,0,0,0,9,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,4FA9C954764A26B425861964A3F42063,1,2,28,1,0,2008-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,6BEFC91EF2BCC52D97AF694A10311A71,1,2,31,1,0,2009-01-01,0,0,0,0,2,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,71357F4BCACA827F9E15B48A6B604ECC,0,1,28,1,0,2008-07-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,644D388885BB6E7C5CB5E8EA8BBB2A55,0,2,39,1,0,2008-07-01,0,0,0,0,9,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,CF22F228B71E0F231F8B7D24FBB08840,0,2,35,1,0,2008-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,F06943A94CC57AB59342B1D05A5C2B01,0,1,43,1,0,2009-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,660BE4BF7F719B14AA603A13C5D3DA63,0,2,30,1,0,2008-07-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,80B5F4960E671EF4B24253919DD5EFDB,0,2,39,1,0,2008-01-01,0,0,0,0,9,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,6884622E4872CF16E123B1BABCCFB1EA,0,1,30,1,0,2008-07-01,0,0,0,0,9,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,429E2197D434E35377E7134C6455E57F,0,2,29,1,0,2012-01-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,550F5169ECD94B954F621F0BA7518AB1,1,1,29,1,0,2018-01-01,0,0,0,0,1,1,1,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,92E40E233588BA484A967097704ADAAB,0,1,34,1,0,2011-01-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,011CF57D353C6E207BDE656198A5209C,0,2,44,1,0,2013-07-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,CAB284F16460255BE0DADD1D9EB58078,1,2,35,1,0,2017-01-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,A003033FCBFCF877017B1F4EE4E42129,1,2,34,1,0,2015-01-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,1FC55C8F8EC8EC4D98D66D0BE59102CB,1,2,31,1,0,2017-07-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,4397A0ABB1254751100416525EB5362C,1,1,27,1,0,2016-07-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,4BF7F271677950C59FA4D10BE9E2DC42,1,1,30,1,0,2017-01-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,AC8EFBD03B90C7A1FCB0CB3C1FAD7454,0,2,29,1,0,2016-01-01,0,0,0,0,1,1,1,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,3B101150F7E49B5187DB89BF641E978C,1,2,27,1,0,2013-01-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,424AAFF36193F5E635436C655F97CA1E,0,2,37,1,0,2010-01-01,0,0,0,0,9,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,79C138599E8AD9C554CA6E134E081276,1,2,27,1,0,2018-01-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,BFBFE1FDD7070A8755CD180CBE8BF972,1,1,27,1,0,2016-07-01,0,0,0,0,1,1,1,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,05529E21EECA9DA9ADFFFE7FA87C9ED7,1,1,35,1,0,2018-07-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,566BC60ECD9810273977AD8141A8354F,3,1,27,1,0,2014-01-01,0,0,0,0,1,1,1,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,C8D08685F0D0E810D921D11961ABC591,1,1,29,1,0,2017-07-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,9A3D32D91811ED561ABF3B26513B04AA,1,1,26,1,0,2017-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,4FB92CBF9743DA2F78C10AA0EA794D1B,2,2,39,1,0,2014-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,166A5B35CB5450C5D5BA0A5AC78336E9,1,1,28,1,0,2015-01-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,FB4BB5DAEA7DBB79F17E1E0C6D596A8C,1,1,30,1,0,2016-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,20B5F94B91E27CF726A49F8EAB1987B5,1,1,31,1,0,2013-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,0C28A45CFB98A6E8986D9599B479301C,1,2,31,1,0,2015-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,7879B51A7EEEB516AD647AF903083EB2,1,1,27,1,0,2015-07-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,E310518A33D107283D310E5B6CED2BA2,1,1,24,1,0,2012-01-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,4FBF25965838F024C34D4D7A34AB8694,1,2,33,1,0,2012-01-01,0,0,0,0,1,1,1,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,4B0A6F82CF7748B137356375893AB9C5,1,2,37,1,0,2018-01-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,2987F0594131323AAC143C3A6A749870,1,1,26,1,0,2011-01-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,7126FA20273F1CABF1334FCBF9615F47,1,1,27,1,0,2016-07-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,29DD3C4639AB413F8E15263617AC028B,1,2,26,1,0,2017-07-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,191E374B35F93F240CFBB6193B7AC51F,1,1,32,1,0,2012-01-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,5C650AE9DDA87C8AEEC496A8177B270D,1,1,28,1,0,2017-07-01,0,0,0,0,1,0,0,0
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,4DA0EE797EB59A4F2CE5DE9598C96681,1,1,26,1,0,2017-07-01,0,0,0,0,1,0,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,BBDF0B6AD473635974BB7F89A6C9A3AF,1,1,33,1,0,2016-01-01,0,0,0,0,2,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,4D03A052A39201E9E6E2C130AFF731F5,3,2,24,1,0,2016-01-01,0,0,0,0,1,1,0,1
1400,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,20516,ADMINISTRAÇÃO,3,1,1,718B4777671C973D102C47CC63B3F742,1,2,44,1,0,2014-01-01,0,0,0,0,1,0,0,0
